feature,importance_mean,importance_std
sma_100,0.04766081871345025,0.0032821556024332644
ema_50,0.023391812865497054,0.0029239766081871395
sma_50,0.02280701754385961,0.0025490637096728993
atr_trend,0.020467836257309878,0.004336958179588103
obv,0.018421052631578894,0.004196695934037221
pct_from_52w_low,0.01315789473684208,0.0013076420921051277
atr_ratio,0.011695906432748492,0.0032030558918430866
rsi_28,0.011403508771929772,0.002834900501413088
volume_ratio_20,0.009649122807017529,0.004196695934037215
macd_hist,0.009649122807017485,0.001983137421966444
return_5d,0.009356725146198785,0.0032821556024332722
atr_14,0.008771929824561365,0.0029239766081871066
adx,0.008479532163742665,0.0033847476323947898
chaikin_mf,0.008479532163742642,0.004840042502118968
Volume,0.008187134502923943,0.0023754498259169633
macd_signal,0.0076023391812865436,0.0036285595456113664
adx_pos,0.007602339181286499,0.0033847476323948162
macd,0.007309941520467799,0.0009246425906924997
ema_20,0.007017543859649078,0.0010940518674777563
volume_ratio_5,0.006725146198830379,0.004944893136049075
bb_pct,0.006725146198830356,0.0021881037349555034
rsi_7,0.006432748538011656,0.0014909413782434812
Adj Close,0.006432748538011656,0.0014909413782434812
return_horizon_past,0.006140350877192935,0.0023391812865496773
return_momentum_diff,0.005847953216374213,0.0038123990673699587
Low,0.005555555555555513,0.000584795321637399
stoch_rsi,0.005263157894736814,0.0028649002839569336
bb_up,0.004678362573099393,0.002339181286549724
volatility_ratio,0.004678362573099393,0.0019395466610265615
price_ema_50_ratio,0.004678362573099393,0.0017049566943992095
Open,0.004678362573099393,0.004277409017054921
skew_60d,0.00467836257309937,0.0025152997856849675
volatility_60d,0.004385964912280671,0.002067563687679975
pct_from_52w_high,0.004385964912280649,0.0018492851813850172
sma_10,0.0040935672514619496,0.00214867521296771
williams_r,0.004093567251461927,0.0028349005014130513
price_ema_100_ratio,0.0038011695906432497,0.0011695906432748482
kurtosis_60d,0.0038011695906432497,0.0021881037349555034
return_20d,0.0038011695906432497,0.0021881037349555034
sma_200,0.00350877192982455,0.0007162250709892537
volatility_20d,0.003508771929824528,0.0035330543782440484
return_zscore_20d,0.003216374269005828,0.0010940518674777918
return_60d,0.0029239766081870845,0.0038123990673699765
obv_pct_change,0.002631578947368385,0.002148675212967701
return_1d,0.002339181286549685,0.0032821556024333
price_sma_50_ratio,0.0020467836257309635,0.0014909413782435163
rsi_14,0.0017543859649122417,0.001939546661026568
return_120d,0.0014619883040935422,0.0013076420921051277
cci,0.0014619883040935422,0.002615284184210305
High,0.00146198830409352,0.0009246425906924997
volume_zscore,0.0008771929824560986,0.0023754498259169715
drawdown,0.00029239766081867735,0.002339181286549724
adx_neg,0.0,0.0027739277720775345
relative_return_20d,0.0,0.0
relative_strength_pct,0.0,0.0
relative_return_60d,0.0,0.0
bench_return_60d,0.0,0.0
bench_return_20d,0.0,0.0
bench_return_5d,0.0,0.0
benchmark_spread,0.0,0.0
ema_100,-0.0008771929824561653,0.001983137421966444
stoch_rsi_d,-0.0020467836257310303,0.0038790933220531044
volatility_120d,-0.0023391812865497298,0.003533054378244019
stoch_rsi_k,-0.002339181286549752,0.0030104181698792456
bb_low,-0.0029239766081871734,0.0016015279459215433
bb_mid,-0.0029239766081871734,0.0018492851813850172
Close,-0.0029239766081871734,0.002264902541641743
